Keyword Stats 2026-05-18 at 11_43_57
"April 1, 2025 - March 31, 2026"
Keyword	Currency	Avg. monthly searches	Three month change	YoY change	Competition	Competition (indexed value)	Top of page bid (low range)	Top of page bid (high range)	Ad impression share	Organic impression share	Organic average position	In account?	In plan?	Searches: Apr 2025	Searches: May 2025	Searches: Jun 2025	Searches: Jul 2025	Searches: Aug 2025	Searches: Sep 2025	Searches: Oct 2025	Searches: Nov 2025	Searches: Dec 2025	Searches: Jan 2026	Searches: Feb 2026	Searches: Mar 2026
automatic solar panel cleaning system price	INR	500	900%	900%	High	95	1.53	1.88																	
automatic solar panel cleaning system project	INR	50	-90%	-90%	Low	30																			
automatic solar panel cleaning system project pdf	INR	50	0%	0%	Low	0																			
automatic solar system	INR	500	0%	0%	Low	4																			
autonomous solar panel cleaning robot	INR	50	0%	0%	Low	14																			
best company for solar panel in india	INR	50	900%	900%	Low	27	3.02	29.08																	
best company of solar panel in india	INR	50	900%	900%	Low	31	2.97	21.92																	
best monocrystalline solar panel	INR	50	0%	0%	Medium	49																			
best monocrystalline solar panel brands	INR	50	0%	0%	Low	0																			
best pv modules	INR	5000	0%	0%	Medium	56	3.21	24.56																	
best solar in india	INR	500	0%	0%	Low	19	2.91	33.50																	
best solar manufacturers in india	INR	50	0%	0%	Low	5																			
best solar modules in india	INR	5000	0%	0%	Low	30	2.71	27.75																	
best solar panel brands in india	INR	500	0%	0%	Low	10	2.56	40.93																	
best solar panel manufacturers in india	INR	500	0%	0%	Low	7	2.82	34.73																	
best solar panel manufacturing company in india	INR	50	0%	0%	Low	11	3.02	20.13																	
best solar plate	INR	5000	0%	0%	Medium	56	3.21	24.56																	
best solar plate in india	INR	500	0%	900%	Medium	42	1.10	15.86																	
best solar products in india	INR	5000	0%	0%	Low	30	2.71	27.75																	
best solar system company in india	INR	50	0%	-90%	Medium	38	3.11	32.69																	
best solar system in india	INR	50	900%	0%	Medium	34	5.20	29.06																	
boson solar panel cleaner	INR	50	-100%	0%	Unknown																				
clean solar power	INR	50	0%	0%	Low	7																			
cleaning solar panels increase efficiency	INR	50	0%	0%	Medium	46																			
cleaning solar panels safely	INR	50	∞	∞	High	67																			
coating for solar panels	INR	50	0%	0%	High	71																			
companies making solar panels in india	INR	500	900%	900%	Low	7	2.97	31.14																	
diy clean solar panels	INR	50	0%	0%	Unknown																				
diy cleaning solar panels	INR	50	-100%	-100%	Unknown																				
diy solar panel cleaning solution	INR	50	0%	0%	High	100																			
dry cleaning solar panels	INR	50	0%	0%	Low	6																			
dust solar panel efficiency	INR	50	0%	0%	Low	0																			
ecoppia solar panel cleaning	INR	50	0%	0%	High	80																			
efficiency of solar panels in india	INR	50	0%	-90%	Low	11	1.87	13.73																	
explanation of solar panel	INR	500	0%	0%	Low	1																			
glass cleaner for solar panels	INR	50	0%	0%	High	100																			
harsha solar panel cleaning	INR	50	0%	0%	High	100																			
hydrophobic coating for solar panels	INR	50	0%	0%	Medium	44																			
india top solar panel company	INR	500	0%	0%	Low	13	3.02	27.15																	
indian made solar panels	INR	50	900%	900%	Low	9	5.57	35.50																	
industrial solar panel system	INR	50	0%	0%	Low	0																			
main solar panel manufacturers	INR	50	0%	0%	Low	0																			
manufacturing solar cells	INR	500	0%	0%	Low	3	20.09	81.03																	
methods of cleaning solar panels	INR	50	0%	0%	High	100																			
module cleaning	INR	50	0%	0%	Low	17																			
module cleaning brush	INR	50	0%	0%	High	100																			
module cleaning robot	INR	50	0%	0%	Low	5																			
module cleaning system	INR	500	0%	900%	Low	25																			
module in solar panel	INR	50	0%	0%	Low	5																			
module manufacturers	INR	500	-90%	-90%	Low	0																			
module manufacturers in india	INR	50	0%	0%	Low	1																			
module panel	INR	50	0%	0%	Low	0																			
monocrystalline solar panel in india	INR	50	0%	900%	Low	25																			
monocrystalline solar panel india	INR	50	0%	900%	Low	25																			
monocrystalline solar panel manufacturers in india	INR	50	0%	0%	Low	16																			
mop for cleaning solar panels	INR	50	0%	0%	High	100	0.78	0.84																	
panel cleaning brush	INR	500	0%	0%	High	95	1.80	2.18																	
panel cleaning system	INR	50	0%	0%	High	80																			
panel robot	INR	50	0%	0%	Low	0																			
panel solar panel	INR	500000	0%	0%	High	85	3.08	41.07																	
panel washing	INR	50	0%	0%	Low	2																			
panels price	INR	5000	0%	900%	Medium	49	0.71	38.76																	
performance solar cleaning	INR	50	0%	0%	Unknown																				
photovoltaic cleaning	INR	50	0%	0%	Low	0																			
photovoltaic panel system	INR	50	0%	0%	Low	4																			
power solar power	INR	50000	0%	0%	Low	20	9.12	51.09																	
pressure pump for solar panel cleaning	INR	500	0%	0%	High	97	1.74	2.05																	
pv manufacturers in india	INR	50	0%	0%	Low	12	3.11	36.26																	
pv module manufacturer	INR	500	-90%	-90%	Low	8	17.40	46.43																	
pv module manufacturers in india	INR	5000	0%	-90%	Low	14	5.98	32.49																	
pv module solar panel	INR	50	0%	0%	Low	4																			
pv panel cleaning robot	INR	5000	0%	0%	Medium	39	0.88	3.34																	
pv panel power	INR	50	∞	∞	Low	0																			
pv panel production	INR	50	0%	0%	Low	0																			
pv panel roof	INR	5000	0%	0%	Low	19	10.22	41.63																	
pv panel solar	INR	5000	0%	0%	Low	1	4.55	48.65																	
pv power solar panel price	INR	50	0%	0%	High	100																			
robot for solar panel cleaning	INR	50	0%	0%	High	100	0.92	10.91																	
robotic cleaning of solar panels	INR	50	0%	0%	Low	4																			
rooftop solar panel cleaning system	INR	50	0%	0%	High	100	1.67	2.95																	
self cleaning coatings for solar panels	INR	50	0%	0%	Low	21																			
self cleaning solar panel system	INR	50	0%	0%	High	76																			
solar auto cleaning system	INR	500	0%	0%	High	95	0.92	1.10																	
solar cell cleaning robot	INR	50	0%	0%	Medium	46	1.50	12.29																	
solar cells and solar panels	INR	500	-90%	0%	Low	18	1.78	33.27																	
solar cleaning robot india	INR	50	0%	0%	Medium	35																			
solar cleaning sprinkler	INR	500	0%	0%	High	98	0.75	0.86																	
solar cleaning wiper	INR	5000	0%	0%	High	100	0.55	0.68																	
solar coatings	INR	50	0%	0%	Low	0																			
solar device	INR	500	-90%	0%	Medium	54	0.59	19.60																	
solar energy and solar panel	INR	50	0%	0%	Low	5																			
solar energy machine	INR	50	0%	0%	Medium	42																			
solar energy maintenance	INR	500	0%	900%	Low	3	4.56	254.58																	
solar energy manufacturers in india	INR	5000	0%	-90%	Low	14	5.98	32.49																	
solar energy plate	INR	50	0%	0%	Low	29																			
solar energy solar	INR	50000	0%	0%	Low	6	19.72	191.94																	
solar energy solar power	INR	500	0%	0%	Low	12	9.98	70.68																	
solar energy structure	INR	50	0%	0%	High	91																			
solar in jaipur	INR	500	0%	0%	Low	28	11.05	54.64																	
solar india solar panel	INR	50	0%	0%	Low	2																			
solar installation in jaipur	INR	500	0%	-90%	Low	27	7.50	79.02																	
solar installation india	INR	5000	0%	0%	Low	24	4.51	32.58																	
solar installation work	INR	50	900%	900%	Low	5	2.15	43.90																	
solar machine price	INR	500	0%	0%	High	85	6.22	32.49																	
solar manufacturing companies in india	INR	5000	0%	0%	Low	14	7.40	30.79																	
solar module cleaning brush	INR	50	-90%	-90%	High	89	1.83	2.17																	
solar module cleaning chemical	INR	50	0%	0%	High	88	0.72	0.78																	
solar module cleaning robot	INR	5000	0%	0%	Medium	39	0.88	3.34																	
solar module cleaning system	INR	5000	0%	0%	High	96	0.82	0.97																	
solar module cost	INR	5000	0%	0%	High	67	0.84	28.17																	
solar module india	INR	5000	0%	0%	Low	24	4.51	32.58																	
solar module manufacturing company in india	INR	500	0%	0%	Low	6	9.09	27.64																	
solar module price in india	INR	5000	0%	0%	High	87	0.73	19.00																	
solar module production	INR	50	0%	0%	Low	1																			
solar module supplier	INR	5000	0%	0%	Low	10	10.71	50.02																	
solar mumbai	INR	500	0%	0%	Low	15	15.58	57.55																	
solar panel a	INR	50	-90%	0%	Low	18																			
solar panel auto cleaning system	INR	500	0%	0%	High	96	1.55	1.89																	
solar panel big size price	INR	50	0%	0%	High	100																			
solar panel cleaner project	INR	50	0%	0%	Low	11																			
solar panel cleaning brush in india	INR	50	0%	0%	High	90																			
solar panel cleaning brush india price	INR	50	0%	∞	High	100																			
solar panel cleaning brush price	INR	50	900%	900%	High	95	1.81	2.23																	
solar panel cleaning cost in india	INR	50	0%	0%	Low	12																			
solar panel cleaning device	INR	50	0%	0%	High	98	0.69	0.81																	
solar panel cleaning diy	INR	50	0%	0%	High	100																			
solar panel cleaning equipment in india	INR	50	0%	0%	High	93	1.80	1.87																	
solar panel cleaning frequency	INR	50	0%	0%	Low	5																			
solar panel cleaning kit price in india	INR	50	0%	0%	High	93	1.81	1.91																	
solar panel cleaning machine price in india	INR	50	0%	0%	High	99	1.69	2.68																	
solar panel cleaning market	INR	50	0%	0%	Low	0																			
solar panel cleaning mechanism	INR	50	0%	0%	High	77																			
solar panel cleaning methods	INR	50	0%	0%	High	81	1.50	2.00																	
solar panel cleaning nozzle	INR	500	0%	0%	High	100	0.86	1.00																	
solar panel cleaning pump	INR	500	0%	0%	High	87	0.66	0.76																	
solar panel cleaning robot companies	INR	50	0%	0%	Low	7																			
solar panel cleaning robot design	INR	50	0%	0%	Low	2																			
solar panel cleaning robot india	INR	50	0%	0%	Low	7																			
solar panel cleaning robot india price	INR	50	0%	0%	Low	5																			
solar panel cleaning robot manufacturers	INR	50	0%	0%	Low	12																			
solar panel cleaning robot manufacturers in india	INR	50	0%	-90%	Low	3																			
solar panel cleaning robot pdf	INR	50	0%	0%	Low	0																			
solar panel cleaning robot ppt	INR	50	0%	0%	Low	0																			
solar panel cleaning robot project	INR	50	0%	0%	Low	0																			
solar panel cleaning robot project report	INR	50	0%	0%	Low	1																			
solar panel cleaning roller brush	INR	50	0%	0%	High	72																			
solar panel cleaning services vadodara	INR	50	900%	0%	Low	7	2.84	3.75																	
solar panel cleaning spray	INR	50	900%	0%	High	94	0.71	0.78																	
solar panel cleaning sprinkler	INR	500	0%	0%	High	96	0.84	1.06																	
solar panel cleaning sprinkler price	INR	500	0%	0%	High	98	0.66	1.15																	
solar panel cleaning sprinkler system	INR	50	-90%	-90%	High	89	0.77	3.53																	
solar panel cleaning system automatic	INR	500	0%	0%	High	94	0.57	3.39																	
solar panel cleaning system in ahmedabad	INR	50	0%	-90%	Low	33																			
solar panel cleaning system in rajkot	INR	50	0%	0%	Low	26																			
solar panel cleaning system in surat	INR	50	0%	0%	High	82																			
solar panel cleaning system in vadodara	INR	50	0%	0%	High	67																			
solar panel cleaning system pdf	INR	50	0%	0%	Low	0																			
solar panel cleaning system price	INR	50	0%	900%	High	99	1.55	1.88																	
solar panel cleaning system project	INR	50	0%	0%	Low	0																			
solar panel cleaning system project report	INR	50	-100%	0%	Unknown																				
solar panel cleaning system research paper	INR	50	0%	0%	Low	0																			
solar panel cleaning system using arduino	INR	50	0%	0%	Low	0																			
solar panel cleaning tractor	INR	50	0%	0%	Low	8																			
solar panel cleaning without water	INR	50	0%	0%	High	85																			
solar panel cleaning yuma	INR	0	0%	0%	Unknown																				
solar panel coating breakthrough	INR	0	0%	0%	Unknown																				
solar panel device	INR	50	0%	0%	High	81																			
solar panel dry cleaning system	INR	50	0%	0%	High	68																			
solar panel dust cleaning system	INR	50	0%	0%	High	98	1.58	2.14																	
solar panel exporters in india	INR	50	0%	0%	Low	2																			
solar panel for washing machine	INR	5000	0%	0%	High	95	0.86	1.04																	
solar panel how to make	INR	50	0%	0%	Low	0																			
solar panel in jaipur	INR	500	0%	0%	Medium	43	10.89	63.84																	
solar panel in mumbai	INR	500	0%	0%	Medium	64	9.93	39.72																	
solar panel in rajasthan	INR	500	0%	0%	Low	12	8.63	34.38																	
solar panel india company	INR	50	0%	0%	Low	30																			
solar panel installation and maintenance	INR	50	0%	0%	Low	3																			
solar panel installation in jaipur	INR	500	-90%	0%	Medium	38	11.34	52.31																	
solar panel manufacturers in andhra pradesh	INR	50	0%	0%	Low	7	5.05	14.91																	
solar panel manufacturers in jaipur	INR	500	-90%	-90%	Low	16	9.12	37.23																	
solar panel manufacturers in karnataka	INR	50	0%	0%	Low	14	9.64	30.86																	
solar panel manufacturers in maharashtra	INR	500	0%	0%	Low	6	16.80	44.06																	
solar panel manufacturers in rajasthan	INR	500	0%	0%	Low	1																			
solar panel manufacturing industry	INR	500	0%	0%	Low	6	14.51	74.86																	
solar panel manufacturing plant in india	INR	50	0%	0%	Low	5	9.56	20.92																	
solar panel plate	INR	500	0%	0%	High	87	0.68	31.05																	
solar panel price in mumbai	INR	500	0%	0%	High	97	1.39	22.31																	
solar panel price in rajasthan	INR	500	0%	900%	Medium	36	2.14	18.81																	
solar panel price rajasthan	INR	500	0%	900%	Medium	36	2.14	18.81																	
solar panel production company in india	INR	50	0%	0%	Low	14	2.95	28.10																	
solar panel production in india	INR	50	0%	900%	Low	1																			
solar panel pv module	INR	5000	0%	0%	Low	4	4.27	89.25																	
solar panel sheet price	INR	50	900%	900%	High	97	0.88	34.95																	
solar panel shield	INR	50	0%	∞	Low	0																			
solar panel solar energy	INR	5000	900%	900%	Low	6	7.15	52.80																	
solar panel washing kit	INR	50	0%	900%	High	100	1.87	2.18																	
solar panel washing pump	INR	500	0%	0%	High	96	0.72	0.87																	
solar panel water cleaning system	INR	50	-90%	-90%	High	92	1.70	2.02																	
solar panels are	INR	50	0%	0%	Low	0																			
solar panels available in india	INR	50	0%	0%	Medium	57	1.12	18.92																	
solar panels plant	INR	500	0%	0%	Low	8	9.78	58.31																	
solar plant manufacturers in india	INR	500	0%	0%	Low	17	11.48	45.52																	
solar plate car rate	INR	0	0%	-100%	Unknown																				
solar plate cleaner	INR	5000	0%	0%	High	90	0.63	0.86																	
solar plate cleaning machine	INR	500	0%	0%	High	95	0.70	0.80																	
solar plate company	INR	5000	0%	0%	Low	20	9.21	52.74																	
solar plate manufacturer in india	INR	5000	0%	-90%	Low	14	5.98	32.49																	
solar plate solar plate	INR	50	0%	0%	High	95																			
solar plate washing machine	INR	50	0%	900%	High	94	0.67	0.79																	
solar power and solar energy	INR	50000	0%	0%	Low	6	19.72	191.94																	
solar power in mumbai	INR	50	0%	0%	Low	24	17.05	36.23																	
solar power machine	INR	50	0%	0%	Low	15																			
solar power manufacturers in india	INR	5000	0%	-90%	Low	14	5.98	32.49																	
solar power manufacturing companies in india	INR	5000	0%	0%	Low	14	7.40	30.79																	
solar power panel manufacturers in india	INR	5000	0%	-90%	Low	14	5.98	32.49																	
solar power plate	INR	5000	0%	0%	High	91	0.79	31.01																	
solar power solar energy	INR	50000	0%	0%	Low	6	19.72	191.94																	
solar power solar power	INR	50000	0%	0%	Low	20	9.12	51.09																	
solar power system manufacturer	INR	50	0%	0%	Medium	38	14.72	64.90																	
solar products company	INR	50	0%	0%	Medium	41	13.38	56.94																	
solar pv manufacturers in india	INR	50	0%	0%	Low	12	3.11	36.26																	
solar pv manufacturing companies in india	INR	50	0%	0%	Low	1																			
solar pv module cleaning	INR	50	0%	-100%	Unknown																				
solar pv module manufacturers	INR	5000	0%	0%	Low	10	10.71	50.02																	
solar pv module manufacturing companies in india	INR	50	0%	0%	Low	2																			
solar pv panel manufacturers	INR	5000	0%	0%	Low	10	10.71	50.02																	
solar pv panel manufacturers in india	INR	5000	0%	-90%	Low	14	5.98	32.49																	
solar pv panel price in india	INR	5000	0%	0%	High	87	0.73	19.00																	
solar robot cleaner	INR	50	-90%	0%	Low	20	1.70	13.44																	
solar rooftop cleaning brush	INR	50	0%	0%	High	100	1.99	2.31																	
solar rooftop cleaning system	INR	50	0%	0%	High	99	0.69	0.95																	
solar solar power	INR	50000	0%	0%	Low	20	9.12	51.09																	
solar system companies in india	INR	500	0%	0%	Medium	40	6.50	32.90																	
solar system device	INR	50	0%	0%	Low	0																			
solar system in jaipur	INR	50	900%	0%	Medium	47	9.17	48.61																	
solar system in mumbai	INR	50	0%	0%	Medium	55	11.97	64.42																	
solar system machine	INR	50	0%	0%	Medium	37																			
solar system module	INR	50	0%	0%	Low	0																			
solar washing system	INR	500	900%	0%	High	98	0.55	0.68																	
sprinkler for solar panel cleaning	INR	500	0%	0%	High	100	0.79	0.92																	
the best solar panel in india	INR	50	0%	0%	Medium	47	1.40	16.93																	
top 10 solar module manufacturers in india	INR	50	0%	0%	Low	4																			
top 10 solar panels company	INR	500	0%	0%	Low	4	9.72	22.45																	
top indian solar panel manufacturers	INR	5000	0%	0%	Low	12	2.92	26.14																	
top pv panel manufacturers	INR	50	0%	0%	Low	2																			
top pv panels	INR	500	0%	0%	Low	19	9.25	24.56																	
top solar module manufacturers in india	INR	50	0%	0%	Low	1																			
top solar panel company in india	INR	5000	0%	0%	Low	12	2.92	26.14																	
top solar panel in india	INR	500	900%	900%	Low	10	1.14	21.55																	
top solar panel manufacturing companies in india	INR	50	0%	0%	Low	2																			
types of solar panel cleaning system	INR	50	0%	0%	Low	0																			
water pump for solar panel cleaning	INR	50	0%	0%	High	91	0.93	2.37																	
water sprinkler system for solar panel cleaning	INR	50	0%	-90%	High	96																			
waterless solar panel cleaning	INR	50	0%	0%	High	95																			
waterless solar panel cleaning robot	INR	50	0%	0%	Low	14																			
www solar panel	INR	50	0%	0%	Medium	43																			
